Farmer Name,County,Crop Type,Crop Variety,Season,Planted Area (Acres),Yield (Kg),Market Price (KES/Kg),Revenue (KES),Cost of Production (KES),Profit (KES),Planting Date,Harvest Date,Soil Type,Irrigation Method,Fertilizer Used,Pest Control,Weather Impact,Farmer Contact,Notes
Farmer 295,Nairobi,Tea,Local,Long Rains,7.22,4761.61,80.71,2774714.9,,,2023-01-26,2024-03-03,Silty,Drip,CAN,None,None,799038526,
Farmer 296,Kiambu,Error,Local,Dry Season,8.98,2473.95,189.06,4200170.38,1275.04,4198895.34,2023-06-20,2023-06-18,Sandy,Drip,CAN,Organic,Mild,723718431,High yield
Farmer 297,Nakuru,Wheat,N/A,Short Rains,3.36,2626.62,95.23,840446.96,77961.82,762485.14,2023-12-22,2024-03-02,Peaty,Drip,Manure,Chemical,,721496211,Pest issues
Farmer 298,Kiambu,Wheat,Local,Dry Season,16.11,3588.03,155.76,9003420.72,32847.9,8970572.82,2023-04-16,2023-07-31,Silty,Drip,None,Chemical,None,781979055,High yield
Farmer 299,Meru,Potatoes,Hybrid,Short Rains,12.19,1780.26,13.44,291666.4,30330.32,261336.08,2023-02-07,2024-01-19,Loam,None,Manure,Chemical,Mild,781182864,
Farmer 300,Nairobi,Maize,Local,Error,6.37,4203.36,21.15,566299.78,16649.88,549649.9,Error,2023-04-23,Silty,None,CAN,Chemical,Severe,797226012,
Farmer 301,Kericho,Sorghum,Hybrid,Short Rains,11.19,1643,68.82,1265267.4,7717.3,1257550.1,2023-06-27,2024-01-18,,Flood,,Chemical,Mild,780823176,Pest issues
Farmer 302,Nakuru,Cassava,Local,Short Rains,8.98,Error,156.68,,60743.53,,2023-07-27,2023-04-21,Peaty,Flood,UREA,Chemical,Severe,718526544,High yield
Farmer 303,Nyeri,Tea,Organic,Dry Season,2.33,1140.85,180.37,479456.02,83401.49,396054.53,2023-08-28,2023-07-14,Silty,Drip,Manure,None,Mild,Error,Delayed harvest
Farmer 304,Nairobi,Sorghum,Organic,Short Rains,18.01,Error,88.21,,57502.56,,2023-11-03,2023-08-10,Peaty,Flood,DAP,None,Severe,715614174,High yield
Farmer 305,Mombasa,Coffee,Local,Short Rains,16.21,773.61,151.84,1904106.72,65244.22,1838862.5,2023-07-16,2023-07-12,Sandy,Flood,Manure,None,Mild,738270233,
Farmer 306,Eldoret,Potatoes,Local,Dry Season,19.44,3453.48,193.55,12994105.29,29825.84,12964279.45,2023-05-14,2023-12-19,Silty,Drip,UREA,Chemical,Mild,,High yield
Farmer 307,Kiambu,Coffee,Hybrid,Long Rains,16.29,3076.27,125.78,6303142.49,30616.36,6272526.13,2023-06-22,2024-02-16,Clay,None,Error,Chemical,None,782269803,
Farmer 308,Mombasa,Rice,Hybrid,Long Rains,4.93,3647.15,40.24,723533.29,72534.59,650998.7,2023-04-04,2023-07-19,Clay,Drip,None,Organic,Mild,745594951,
Farmer 309,Nairobi,Tea,Local,Short Rains,3.84,3225.04,N/A,,56224.81,,2023-10-09,2023-08-13,Silty,Drip,DAP,Chemical,,771510041,
Farmer 310,Nyeri,N/A,Organic,Dry Season,N/A,3604.82,Error,,32302.1,,2023-08-15,2023-05-22,Loam,Flood,DAP,Chemical,None,798231132,High yield
Farmer 311,Machakos,Rice,Local,Dry Season,19.04,3904.58,177.67,13208556.91,N/A,,2023-03-10,2023-12-02,Silty,Sprinkler,CAN,Chemical,Severe,773993471,Delayed harvest
Farmer 312,Machakos,Beans,Organic,Short Rains,6.43,2386.16,60.87,933928.95,16994.63,916934.32,2023-02-20,2023-09-01,Silty,Drip,CAN,Organic,Mild,728024248,
Farmer 313,Mombasa,Rice,Hybrid,Short Rains,7.28,4950.74,160.75,5793652.99,49333.99,5744319,2023-07-26,2023-08-29,,Flood,N/A,Chemical,Mild,714835614,
Farmer 314,Kisumu,Tea,Hybrid,Long Rains,13.04,4305.74,139.84,7851575.45,24109.09,7827466.36,2023-02-28,2024-01-27,Peaty,Flood,UREA,Organic,Severe,722201654,High yield
Farmer 315,Meru,Tomatoes,Organic,,10.95,3191.22,37.13,1297465.48,18741.38,1278724.1,2023-03-12,2023-05-19,,N/A,DAP,Chemical,Severe,721668732,High yield
Farmer 316,Machakos,Tomatoes,Hybrid,Long Rains,2.36,4266.65,168.16,1693252.48,27494.65,1665757.83,2023-11-22,2024-02-15,Loam,Flood,Manure,Chemical,None,739476249,High yield
Farmer 317,Nakuru,Wheat,Local,Long Rains,6.35,3626.43,198.08,4561352.67,46308.99,4515043.68,2023-12-04,2024-01-06,Silty,Drip,DAP,None,Severe,721003626,
Farmer 318,Meru,Wheat,Local,Dry Season,18.95,4167.48,64.24,5073273.44,83994.53,4989278.91,2023-10-27,2024-01-27,Sandy,N/A,CAN,None,Error,766267415,High yield
Farmer 319,Nyeri,Potatoes,Organic,Error,12.2,3830.95,23.52,1099268.12,22434.5,1076833.62,2023-12-02,2023-06-22,Clay,None,DAP,None,Severe,761343880,
Farmer 320,Mombasa,Coffee,Organic,Long Rains,9.97,4611.83,68.79,3162960.42,90955.26,3072005.16,2023-09-19,2023-10-12,Silty,Drip,DAP,Error,Severe,799889098,
Farmer 321,Kericho,Tea,Local,Short Rains,13.44,1880.09,120.91,3055203.4,99050.48,2956152.92,2023-04-05,2023-05-15,Silty,Flood,DAP,Organic,Severe,N/A,Pest issues
Farmer 322,Machakos,N/A,Local,Long Rains,14.16,137.77,N/A,,23589.13,,2023-08-15,2023-06-24,Peaty,Drip,Manure,None,Severe,796728778,
Farmer 323,Eldoret,Maize,Organic,,6.35,3243.64,153.64,3164540.59,93185.14,3071355.45,2023-06-26,2023-10-08,Sandy,Drip,CAN,None,N/A,740728046,
Farmer 324,Nakuru,Tomatoes,Organic,Long Rains,1.45,1052.81,N/A,,51716.09,,2023-07-23,2023-09-15,Sandy,Drip,Manure,Chemical,N/A,782374753,Delayed harvest
Farmer 325,Mombasa,Sorghum,Local,Short Rains,8.98,2268.85,78.24,1594083.12,5463.24,1588619.88,Error,2023-08-03,Peaty,None,,Error,Error,758718453,High yield
Farmer 326,Nakuru,Rice,Hybrid,Long Rains,9.27,3289.36,126.71,3863687.85,65162.16,3798525.69,2023-01-29,2023-05-08,Peaty,,DAP,None,Mild,Error,High yield
Farmer 327,Machakos,Coffee,Hybrid,Dry Season,2.12,3757.64,49.65,395521.67,71646.96,323874.71,2023-05-21,2023-04-16,Sandy,None,UREA,Organic,Mild,757683626,Pest issues
Farmer 328,Nakuru,Coffee,Local,Long Rains,10.47,206.23,150.54,325050.2,26482.66,298567.54,2023-04-11,2023-12-09,Clay,Flood,None,Organic,Severe,737415205,
Farmer 329,Nyeri,Wheat,Organic,Short Rains,5.76,3187.69,178.74,3281862.01,75521.07,3206340.94,2023-07-15,N/A,Sandy,Flood,None,None,Mild,750603163,
Farmer 330,Mombasa,Sorghum,Hybrid,Short Rains,7.8,3695.37,140.55,4051197.18,93208.29,3957988.89,2023-01-19,2024-02-06,N/A,Drip,None,None,None,749349722,
Farmer 331,Kisumu,Tomatoes,Hybrid,Error,9.67,2741.68,86.03,2280831.28,34179.96,2246651.32,2023-09-21,2023-06-20,Silty,None,None,Organic,None,759555330,
Farmer 332,Mombasa,Sorghum,Local,Short Rains,18.86,2333.81,47.7,2099546.82,30225.12,2069321.7,2023-12-31,2023-06-01,Peaty,Drip,None,Chemical,Mild,785329037,High yield
Farmer 333,Machakos,Rice,Error,Short Rains,16.57,2443.38,Error,,84624.85,,2023-09-14,2023-10-01,Clay,Drip,Manure,Organic,Mild,713176186,High yield
Farmer 334,Kisumu,Coffee,Hybrid,Short Rains,6.99,4518.04,13.32,420660.25,20616.6,400043.65,2023-02-15,2023-04-30,Peaty,Error,DAP,None,None,750056581,
Farmer 335,Mombasa,Coffee,Local,Error,18.51,1809.07,67.59,2263311.01,94740.89,2168570.12,2023-10-27,2023-09-05,Silty,None,CAN,None,Mild,782160068,
Farmer 336,Kisumu,Tea,Organic,Short Rains,14.71,154.85,179.48,408827.35,62626.2,346201.15,2023-07-09,2023-12-29,,Flood,Manure,Chemical,Severe,784593961,Delayed harvest
Farmer 337,Nakuru,Sorghum,Organic,Short Rains,6.51,,194.12,,N/A,,2023-01-11,2023-08-12,Silty,None,None,Organic,Severe,714265799,Pest issues
Farmer 338,Kiambu,Rice,Organic,Long Rains,14.55,2789.97,172.67,7009376.94,1452.97,7007923.97,2023-03-23,2024-02-28,Peaty,Flood,Manure,None,Severe,,Pest issues
Farmer 339,Nairobi,Maize,Organic,Long Rains,4.32,2992.42,35.2,455039.35,77406.09,377633.26,2023-02-21,2023-08-01,Peaty,,UREA,Chemical,Mild,766792612,Pest issues
Farmer 340,Nairobi,Cassava,Hybrid,Dry Season,6.2,4626.65,47.96,1375743.63,Error,,2023-08-06,2023-05-13,Silty,Sprinkler,None,Organic,Mild,795758349,Pest issues
Farmer 341,Nyeri,Tea,Organic,Long Rains,15.74,846.04,N/A,,9423.01,,2023-10-27,2023-05-31,Clay,None,None,None,Severe,754058573,Pest issues
Farmer 342,Eldoret,Tea,Local,Dry Season,4.96,1530.89,34.88,264851.32,35275.79,229575.53,Error,2023-08-18,Error,Flood,Manure,Chemical,Severe,738119557,High yield
Farmer 343,Kiambu,,Organic,Short Rains,6.61,2795.85,150.27,2777075.03,59658.59,2717416.44,2023-08-11,2024-01-13,Clay,Flood,UREA,None,None,717849494,
Farmer 344,Kericho,Sorghum,Local,Long Rains,16.31,2134.84,170.75,5945385.3,73024.6,5872360.7,2023-02-19,2023-06-29,Clay,Flood,DAP,None,None,784346088,
Farmer 345,Kisumu,Tomatoes,Local,Long Rains,15.7,3481.47,27.9,1524988.3,45188.65,1479799.65,2023-09-27,2023-12-23,Peaty,Flood,Manure,Organic,None,720709497,
Farmer 346,Nakuru,Sorghum,Hybrid,Dry Season,19.9,3791.14,122.1,9211674.06,94828.19,9116845.87,2023-04-24,2024-03-19,Clay,Sprinkler,Error,Chemical,None,783140807,
Farmer 347,Machakos,Tea,Organic,Dry Season,19.37,3197.38,22.69,1405265.46,57573.38,1347692.08,2023-06-10,2023-04-27,Clay,None,None,Chemical,Severe,Error,Pest issues
Farmer 348,Nyeri,Tea,Organic,Error,17.39,3146.33,127.18,6958612.84,79299.36,6879313.48,2023-05-19,2024-03-08,Error,Flood,Error,Chemical,None,728024248,
Farmer 349,Kisumu,Maize,Organic,Long Rains,16.86,1665.67,123.99,3482035.5,57299.43,3424736.07,2023-06-06,2024-02-29,Loam,None,UREA,Organic,None,777187530,
Farmer 350,Machakos,Cassava,Organic,Long Rains,1.23,3819.68,174.47,819696.07,Error,,2023-06-24,2024-01-07,Silty,Flood,None,None,Mild,782772208,
Farmer 351,Nairobi,Wheat,Organic,N/A,16.07,1759.66,126.03,3563843.09,41487.11,3522355.98,2023-01-24,2024-03-30,Sandy,None,Error,Organic,Mild,735511941,
Farmer 352,Machakos,Cassava,Hybrid,Long Rains,11.67,1949.13,133.22,3030268.36,59918.21,2970350.15,2023-05-06,2024-01-01,,Flood,Manure,Error,None,785345555,High yield
Farmer 353,Nakuru,Beans,Local,Long Rains,18.08,3105.05,158.96,8923903.76,31504.41,8892399.35,2023-05-23,2023-10-27,Sandy,Sprinkler,CAN,Chemical,Mild,710965138,Pest issues
Farmer 354,Machakos,Tea,Local,Dry Season,1.22,3791.98,139.74,646467.37,67450.25,579017.12,2023-12-29,2023-10-08,Sandy,Flood,Error,Chemical,Severe,763606628,
Farmer 355,Mombasa,Rice,Local,Long Rains,1.81,2310.23,176.01,735988.68,70268.45,665720.23,2023-02-09,2023-07-06,N/A,Sprinkler,Manure,None,Mild,741568532,
Farmer 356,Mombasa,Cassava,Local,Dry Season,19.96,1179.66,155.43,3659756.89,69224.6,3590532.29,2023-06-10,2023-07-08,Clay,None,,Error,None,725521714,Delayed harvest
Farmer 357,,Rice,N/A,Dry Season,6.41,2092.39,162.7,2182168.18,53117.19,2129050.99,2023-08-02,2023-06-04,Clay,None,Manure,Chemical,Severe,761700055,
Farmer 358,Kericho,Wheat,Hybrid,Short Rains,3.21,2369.1,132.08,1004443.44,18176.75,986266.69,2023-07-24,2024-02-05,Clay,Drip,DAP,None,Mild,768526649,Delayed harvest
Farmer 359,N/A,Sorghum,Hybrid,Dry Season,10.1,3661.89,25.13,929435.29,73255.41,856179.88,2023-10-16,2023-10-03,Silty,Sprinkler,DAP,Chemical,Severe,745594951,Delayed harvest
Farmer 360,Kisumu,Tomatoes,Organic,Long Rains,15.52,1302.8,13.51,273164.85,48019.44,225145.41,2023-12-30,2024-02-16,Peaty,None,Manure,Organic,None,731227574,High yield
Farmer 361,Mombasa,Sorghum,Organic,Dry Season,1.9,4781.53,149.92,1362009.26,65835.78,1296173.48,2023-05-21,,Sandy,Drip,CAN,Chemical,Mild,783863413,High yield
Farmer 362,Nakuru,Rice,Hybrid,Dry Season,N/A,3514.14,171.46,,91504.4,,2023-09-20,2023-10-20,Error,Drip,CAN,Error,None,747295260,Pest issues
Farmer 363,Mombasa,Rice,Local,Short Rains,11.06,4499.66,10.51,523043.18,86000.98,437042.2,2023-06-20,2023-11-23,Loam,Flood,DAP,None,Severe,795899313,Pest issues
Farmer 364,Meru,Rice,Local,Dry Season,9.62,2481.32,182.73,4361819.63,71915.41,4289904.22,2023-12-22,2023-08-27,Sandy,Flood,None,Chemical,Mild,743273328,N/A
Farmer 365,Error,Wheat,N/A,Dry Season,10.03,1258.12,90.6,1143276.29,45991,1097285.29,2023-01-25,2023-09-06,Sandy,Sprinkler,UREA,None,Severe,716818112,
Farmer 366,Kericho,Maize,Organic,,16.95,434.72,29.7,218844.57,57193.27,161651.3,2023-05-16,2023-08-18,Sandy,Sprinkler,CAN,Organic,None,719832887,Pest issues
Farmer 367,N/A,Coffee,Hybrid,Short Rains,13.96,4701.59,99.06,6501723.5,15293.74,6486429.76,2023-02-03,2023-07-04,Silty,Flood,None,Organic,None,788183110,
Farmer 368,Mombasa,Rice,Local,Long Rains,15.8,262.63,23.14,96020.68,92305.07,3715.61,2023-01-13,2023-12-18,Sandy,Sprinkler,None,Chemical,Severe,718883684,
Farmer 369,Nairobi,Cassava,Local,Long Rains,18.41,4665.49,103.66,8903530.61,76315.85,8827214.76,2023-05-13,2024-01-11,Silty,None,DAP,Organic,Severe,787925434,High yield
Farmer 370,Machakos,Cassava,Hybrid,Short Rains,5.65,2250.07,188.47,2395999.41,45507.92,2350491.49,2023-10-17,2023-06-17,Peaty,Flood,DAP,None,Error,785563727,Pest issues
Farmer 371,Nairobi,Beans,Organic,Dry Season,9.09,2535.31,Error,,23951,,2023-01-12,2024-03-28,Silty,Flood,DAP,Chemical,None,722517517,Pest issues
Farmer 372,Nyeri,Tea,Hybrid,Short Rains,5.29,1623.99,154.43,1326693.78,25661.54,1301032.24,2023-08-01,2024-01-29,Loam,None,Manure,None,Severe,725015458,Pest issues
Farmer 373,Kisumu,Wheat,Organic,Long Rains,11.07,880.13,22.7,221166.99,28301.72,192865.27,2023-10-05,2023-07-06,Peaty,None,UREA,Organic,Severe,794705205,
Farmer 374,Nakuru,Potatoes,Hybrid,Short Rains,1.36,732.72,47.56,47393.5,60552.65,-13159.15,2023-02-26,2023-09-06,Sandy,None,None,Chemical,Severe,725480907,
Farmer 375,Nyeri,Cassava,Hybrid,Dry Season,7.18,2527.5,168.63,3060204.49,57194.79,3003009.7,2023-05-14,2023-04-17,Peaty,Drip,CAN,None,None,799949389,
Farmer 376,Kiambu,Tea,Local,Short Rains,17.64,3223.12,101.45,5768024.64,15181.7,5752842.94,2023-08-21,2024-02-25,Loam,None,CAN,None,Severe,739476249,
Farmer 377,Eldoret,Maize,Local,Long Rains,4.33,3976.8,53.7,924689.51,57435.63,867253.88,2023-03-09,2023-04-15,Clay,Flood,Manure,Error,Mild,727778019,Delayed harvest
Farmer 378,Kericho,Beans,Hybrid,Short Rains,16.35,4873.12,33.04,2632478.92,8368.91,2624110.01,2023-01-01,2023-05-08,Sandy,Flood,Manure,Chemical,Mild,773440831,Pest issues
Farmer 379,Machakos,Beans,Error,Error,3.4,2662.71,135.56,1227253.69,2191.12,1225062.57,2023-11-20,2023-07-17,Sandy,Error,DAP,Organic,N/A,725521714,
Farmer 380,Nyeri,Rice,Local,Short Rains,18.9,4476.76,49.81,4214462.15,38474.29,4175987.86,2023-05-25,2024-03-10,Clay,Drip,CAN,Chemical,None,751273847,
Farmer 381,Nairobi,Potatoes,Hybrid,Long Rains,8.33,3597.96,69.68,2088379.75,13834.29,2074545.46,2023-02-22,2023-05-11,Peaty,Drip,DAP,None,Severe,728728463,High yield
Farmer 382,Nairobi,Wheat,Hybrid,Long Rains,6.86,1584.36,,,N/A,,2023-02-17,2024-01-16,Clay,Sprinkler,Manure,None,Mild,755377076,Delayed harvest
Farmer 383,Nairobi,Wheat,Hybrid,Dry Season,18.91,3749.72,105.63,7489928.09,60364.71,7429563.38,2023-11-18,2023-12-25,Peaty,Sprinkler,UREA,None,None,740158366,
Farmer 384,N/A,,Local,Short Rains,8.23,4757.86,81.93,3208148.4,75595.86,3132552.54,2023-01-19,2023-05-23,Clay,None,DAP,Organic,None,770897765,Pest issues
Farmer 385,Nyeri,Rice,Hybrid,Dry Season,14.18,2969.77,126.55,5329189.9,92980.35,5236209.55,2023-03-20,2024-03-03,Peaty,Drip,DAP,Organic,None,713176186,
Farmer 386,Nairobi,Sorghum,Organic,Short Rains,3.16,4699.49,85.07,1263322.54,36849.47,1226473.07,2023-01-29,2023-09-15,Silty,Error,None,Chemical,Severe,734627347,
Farmer 387,Nairobi,Error,Hybrid,Short Rains,19.44,3413.72,197.69,13119245.48,,,2023-03-01,2023-11-10,Silty,Flood,None,Chemical,Mild,799514287,Delayed harvest
Farmer 388,Kiambu,Coffee,Local,Dry Season,3.91,1364.88,Error,,50468.53,,2023-09-29,2024-02-07,N/A,Sprinkler,Error,Chemical,Mild,788961459,High yield
Farmer 389,Nairobi,Coffee,Local,,9.63,1796.66,38.2,660930.13,85166.07,575764.06,2023-03-27,2024-02-21,Peaty,Sprinkler,DAP,None,Severe,746231783,Delayed harvest
Farmer 390,Nakuru,Rice,Hybrid,Long Rains,5.44,1125.77,42.85,262421.49,74836.4,187585.09,2023-06-19,2024-01-20,Silty,Sprinkler,None,Error,Mild,782340307,High yield
Farmer 391,Meru,Rice,,Long Rains,8.12,589.28,87.51,418731.29,55714.77,363016.52,2023-11-22,2023-09-27,Clay,Flood,Manure,Chemical,Severe,727232410,
Farmer 392,N/A,Sorghum,Organic,Short Rains,2.11,4007.9,141.51,1196703.23,98272.89,1098430.34,2023-08-28,2023-06-13,Sandy,Drip,N/A,Error,Mild,784593961,
Farmer 393,Kiambu,Tea,Hybrid,Dry Season,12.89,3763.74,183.35,8895153.49,94395.1,8800758.39,2023-10-07,2023-08-11,Peaty,Sprinkler,Error,,Mild,719196777,
Farmer 394,Kericho,Sorghum,Organic,Long Rains,18.16,4606.06,158.74,13277973.91,51230.93,13226742.98,2023-12-22,2023-11-13,Clay,None,Manure,Error,None,713999315,
Farmer 395,Meru,Potatoes,Hybrid,Dry Season,6.01,1721.97,126.35,1307601.17,98213.78,1209387.39,2023-05-16,2023-10-02,Silty,Drip,DAP,Organic,Severe,715334035,
Farmer 396,Nakuru,Error,Hybrid,Short Rains,8.03,717.74,,,40630.43,,2023-10-16,2023-09-20,Silty,Drip,Manure,Error,N/A,795899313,
Farmer 397,Machakos,Potatoes,N/A,Short Rains,17.18,,69.96,,45045.54,,2023-03-27,2024-01-21,Sandy,None,None,None,Mild,764543049,
Farmer 398,Kericho,Rice,Local,Long Rains,0.57,4614.27,N/A,,72006.3,,2023-08-30,2024-01-21,Clay,Sprinkler,UREA,Chemical,Severe,745575298,Pest issues
Farmer 399,N/A,Wheat,Hybrid,Dry Season,9.69,1207.84,123.45,1444855.05,55971.47,1388883.58,2023-11-13,2023-05-12,Error,None,None,Chemical,Mild,744999379,Pest issues
Farmer 400,Nyeri,Potatoes,Local,Long Rains,15.39,2347.07,158.84,5737524.34,46322.7,5691201.64,2023-02-10,2024-01-27,Peaty,N/A,UREA,Organic,Mild,790388981,Error
Farmer 401,Kisumu,Rice,Hybrid,Long Rains,10.6,4495.63,141.7,6752526.17,55118.24,6697407.93,2023-10-08,2024-02-07,Clay,Flood,CAN,None,Mild,770897765,Delayed harvest
Farmer 402,Kiambu,Tomatoes,Organic,Short Rains,7.21,4966.44,193.63,6933509.31,69434.33,6864074.98,2023-05-23,2023-12-27,Sandy,Sprinkler,CAN,Organic,Mild,726240908,Delayed harvest
Farmer 403,Machakos,Maize,Local,N/A,6.66,3777.23,89.49,2251241.92,35324.97,2215916.95,2023-01-15,2024-01-08,Loam,Drip,None,Chemical,None,791734598,
Farmer 404,Nyeri,Potatoes,Local,Dry Season,16.87,3754.38,136.05,8616915.94,46814.07,8570101.87,2023-12-07,2023-07-23,Sandy,Flood,CAN,Organic,Severe,720099059,High yield
Farmer 405,Nairobi,N/A,Organic,Dry Season,9.66,3840.18,172.22,6388697.02,46563.24,6342133.78,2023-05-16,2023-11-07,Loam,Sprinkler,DAP,Organic,Severe,782556484,High yield
Farmer 406,Error,Tea,Organic,Long Rains,11.86,3634.57,157.26,6778849.59,32558.24,6746291.35,2023-11-14,2024-03-22,Sandy,None,CAN,Chemical,None,731682744,Delayed harvest
Farmer 407,Kisumu,Wheat,Local,Long Rains,3.3,3182.85,66.13,694590.17,19666.73,674923.44,2023-05-27,Error,Loam,None,DAP,Organic,Severe,763826716,Pest issues
Farmer 408,Mombasa,Potatoes,Organic,,0.66,2417.66,155.76,248539.32,86070.47,162468.85,2023-01-26,2024-02-25,Clay,None,CAN,Organic,None,743308443,
Farmer 409,Machakos,Beans,Organic,Short Rains,6.36,516.87,178.6,587110.57,48000.18,539110.39,2023-04-17,2023-04-14,Silty,Drip,Error,Organic,Severe,767887757,
Farmer 410,Nyeri,Coffee,N/A,Short Rains,18.32,4346.57,103.27,8223303.6,15071.92,8208231.68,2023-03-14,2024-01-07,Sandy,Drip,DAP,Chemical,None,772092888,Delayed harvest
Farmer 411,Meru,Coffee,Local,Dry Season,1.13,4724.28,17.09,91233.88,54362.48,36871.4,2023-09-22,2023-10-22,Clay,Flood,CAN,Chemical,None,743374088,High yield
Farmer 412,Kericho,Coffee,Hybrid,Short Rains,,774.57,140.53,,58962.22,,,2023-10-28,Sandy,Drip,None,None,Severe,788183110,
Farmer 413,Mombasa,Potatoes,Organic,Dry Season,6.92,3521,97.58,2377567.93,95599.42,2281968.51,2023-02-22,2024-03-30,Sandy,Drip,UREA,N/A,Severe,796028436,Pest issues
Farmer 414,Machakos,Sorghum,Organic,Short Rains,13.34,4429.3,23.87,1410403.4,38800.64,1371602.76,2023-06-04,2023-12-07,Peaty,Flood,UREA,None,Mild,723796726,High yield
Farmer 415,Nairobi,Tomatoes,Organic,Short Rains,8.42,2208.85,97.28,1809263.73,52498.53,1756765.2,2023-10-24,2023-04-19,Clay,Sprinkler,CAN,None,Mild,778139880,High yield
Farmer 416,Mombasa,Sorghum,N/A,Dry Season,3.62,1735.84,33.75,212076.25,73511.64,138564.61,2023-11-28,2023-11-25,Silty,Sprinkler,None,None,None,785283645,Delayed harvest
Farmer 417,Kisumu,Coffee,Local,Short Rains,7.42,2536.73,120.97,2276962.25,63593.32,2213368.93,2023-04-23,2024-01-29,Sandy,Drip,Manure,Chemical,Severe,710435578,Pest issues
Farmer 418,Mombasa,N/A,Organic,Long Rains,12.77,2338.39,27.97,835218.89,87818.14,747400.75,2023-04-25,2023-12-10,Clay,None,None,None,Severe,Error,Pest issues
Farmer 419,Eldoret,Tea,Local,Long Rains,6.14,3960.59,151.15,3675669.12,21283.89,3654385.23,2023-10-25,2024-02-03,Error,None,DAP,Organic,Severe,750056581,High yield
Farmer 420,Meru,Coffee,Organic,Long Rains,16.41,1815.34,151.4,4510165.03,9966.52,4500198.51,2023-08-16,2023-08-14,Peaty,Flood,None,,None,783140807,
Farmer 421,Kisumu,Potatoes,Hybrid,Short Rains,13.88,2193.12,149.58,4553290.83,72975.43,4480315.4,N/A,2023-12-23,Loam,Sprinkler,Manure,None,None,734627347,
Farmer 422,Nairobi,Sorghum,Local,Dry Season,17.19,2934.15,93.22,4701833.95,21196.74,4680637.21,Error,2023-11-03,Error,Sprinkler,,Chemical,None,N/A,
Farmer 423,Machakos,Wheat,Local,Dry Season,14.47,2502.89,176.21,6381765.55,20371.04,6361394.51,2023-12-06,2023-11-07,Peaty,Drip,None,None,Mild,766306997,Pest issues
Farmer 424,,,Hybrid,Short Rains,Error,3894.66,167.44,,55091.82,,2023-11-13,2023-08-27,Silty,None,UREA,Organic,Severe,727758595,High yield
Farmer 425,Nyeri,Coffee,N/A,Long Rains,7.82,2233.39,101.79,1777773.53,89787.75,1687985.78,2023-04-14,2023-09-22,Silty,Drip,None,Chemical,None,758537831,
Farmer 426,Mombasa,N/A,Hybrid,Short Rains,2.82,517.47,162.07,236503.14,10180.22,226322.92,2023-09-22,2023-05-26,Clay,None,CAN,Chemical,Mild,719196777,High yield
Farmer 427,Nakuru,Cassava,Local,Long Rains,10.69,,57.84,,54493.23,,2023-04-21,2023-10-17,Peaty,Flood,UREA,Organic,None,710435578,
Farmer 428,Kericho,Wheat,N/A,N/A,18.67,573.75,150.39,1610964.52,63062.99,1547901.53,2023-10-30,2024-02-05,Silty,Sprinkler,Manure,None,None,781691040,Delayed harvest
Farmer 429,Nakuru,Maize,Local,N/A,8.23,1183.78,120.4,1172998.13,26897.32,1146100.81,2023-07-04,2023-11-07,Clay,None,Manure,N/A,None,797971488,Pest issues
Farmer 430,Nakuru,Rice,Organic,Error,17.52,1943.7,150.24,5116216.47,69245.4,5046971.07,2023-10-14,2023-07-16,Sandy,N/A,DAP,Organic,Severe,Error,Pest issues
Farmer 431,Eldoret,Coffee,Organic,N/A,1.15,162.55,162.14,30309.24,66486.57,-36177.33,,2023-11-21,Sandy,Sprinkler,Error,None,None,757130035,High yield
Farmer 432,Nakuru,Cassava,Hybrid,Long Rains,9.6,2158.49,75.89,1572554.94,20875.69,1551679.25,2023-05-16,2023-12-22,Silty,Flood,CAN,None,N/A,714835614,Pest issues
Farmer 433,Kericho,Maize,Hybrid,Long Rains,13.74,135.73,80.66,150425.27,47997.14,102428.13,2023-01-24,2023-06-12,Peaty,None,Manure,Chemical,Mild,794705205,High yield
Farmer 434,Nairobi,Tea,Hybrid,Dry Season,Error,4886.09,71.07,,77084.87,,2023-08-29,2023-11-27,,Drip,None,None,None,766775103,Delayed harvest
Farmer 435,Kericho,Potatoes,Local,Short Rains,19.34,2530.19,163.05,7978668.25,1979.2,7976689.05,2023-12-06,2023-08-10,Clay,Flood,None,Chemical,None,752169044,Pest issues
Farmer 436,Nyeri,Coffee,Organic,Error,17.81,4801.03,62.28,5325335.12,17171.89,5308163.23,2023-09-30,2023-04-20,Silty,Sprinkler,DAP,Organic,None,747463522,Pest issues
Farmer 437,Kericho,Coffee,Local,Long Rains,17.76,776.61,182,2510252.04,Error,,2023-09-20,2024-01-25,Sandy,Sprinkler,CAN,Chemical,N/A,N/A,Pest issues
Farmer 438,Nakuru,Coffee,Local,Short Rains,15.63,1513.44,72.88,1723981.3,43210.78,1680770.52,2023-01-16,2023-11-17,Sandy,Drip,DAP,Organic,Severe,781498611,
Farmer 439,Nakuru,Coffee,Local,Dry Season,6.02,3526.84,165.87,3521681.64,47891.29,3473790.35,2023-11-12,2023-08-03,Silty,Error,None,None,Severe,,N/A
Farmer 440,Meru,Wheat,N/A,Short Rains,1.45,3217.78,63.83,297816.8,54824.08,242992.72,2023-11-28,2024-03-16,Silty,None,Manure,None,None,738688676,Pest issues
